CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
64543	69436	23	0.9231	1.153
85886	90406	23	0.9216	-3.996
74950	85243	23	0.9257	-42.107
63587	106786	23	0.9296	-101.172
82477	90457	23	0.9298	-41.005
85944	98012	23	0.9231	-129.141
88774	90172	23	0.921	46.006
86123	87598	23	0.9229	-1.014
93228	108170	23	0.9252	-9.024
90457	93325	23	0.9766	-16.035
85243	89448	23	0.9303	-30.047
67254	88239	23	0.9265	-35.031
98012	98471	23	0.9382	-16.024
80546	88844	23	0.943	14.014
85361	91356	23	0.9452	-38.052
63587	82756	23	0.9249	67.016
69436	70639	23	0.9304	-25.185
63587	85641	23	0.9227	37.007
85510	91356	23	0.9706	-10.057
79140	89484	23	0.9415	-70.078
90457	98012	23	0.9463	-85.136
85510	85944	23	0.9584	32.007
70499	98012	23	0.9241	-114.217
40681	40685	24	0.5351	1.998
56221	75306	26	0.6132	-82.570
48851	56221	26	0.6109	-357.882
54277	55594	27	0.9552	-17.032
48887	52871	27	0.9435	-17.021
61813	63306	27	0.9122	-44.033
59331	74762	27	0.9218	17.004
63278	71958	27	0.8998	30.008
57288	59455	27	0.9401	-26.986
52828	55578	27	0.9483	-88.048
52421	52854	27	0.9629	1.003
60259	71774	27	0.927	77.049
56866	57855	27	0.9252	-44.027
72026	74066	27	0.9213	105.081
59768	60041	27	0.9427	-44.026
58090	60254	27	0.951	61.055
58230	60254	27	0.9426	105.081
63278	80069	27	0.8997	19.004
56439	58713	27	0.893	-17.027
56439	80228	27	0.8713	-56.063
53390	54474	27	0.928	17.028
56409	57663	27	0.9057	0.060
58667	59331	27	0.918	-27.001
54938	58667	27	0.9279	-75.068
51811	56866	27	0.955	-14.017
59331	74110	27	0.9218	148.073
55594	60254	27	0.9349	3.012
69379	71839	27	0.909	-17.027
56028	74110	27	0.9025	17.000
60041	60254	27	0.937	88.053
53166	54938	27	0.9243	61.053
48396	58713	27	0.8978	-31.043
59629	61936	27	0.9165	-14.009
54277	59768	27	0.9389	-58.046
51811	73943	27	0.9154	-25.022
56578	74762	27	0.9172	46.007
56439	69379	27	0.8958	-28.031
70213	76986	27	0.9137	-11.005
57670	59012	27	0.8809	-132.079
52871	54460	27	0.923	-44.029
53390	61936	27	0.9097	-10.998
54460	55456	27	0.9247	-115.047
59768	60286	27	0.9251	71.025
52611	53980	27	0.9452	-0.059
51699	58230	27	0.9066	-58.043
51811	53390	27	0.939	-44.029
52854	58667	27	0.9312	-119.091
60041	71774	27	0.9395	148.073
58713	71839	27	0.8522	-28.031
48396	80228	27	0.9046	-70.078
54474	61936	27	0.9097	-28.026
59148	59749	27	0.9161	17.030
61936	80069	27	0.8988	-42.053
52611	73943	27	0.9473	-42.107
52421	55456	27	0.9453	-131.068
54474	74066	27	0.9142	-42.046
48396	60631	27	0.8923	-28.032
52828	52854	27	0.949	61.055
52854	54460	27	0.9227	-17.024
60254	60259	27	0.9584	-17.029
58713	60631	27	0.8908	3.011
52854	55456	27	0.9528	-132.071
56866	57663	27	0.9117	17.086
48775	61626	27	0.8493	-28.031
48396	69379	27	0.9168	-42.047
71958	80069	27	0.9094	-11.004
58090	60041	27	0.9412	-26.998
55067	61896	27	0.8955	-14.073
51699	52997	27	0.9297	105.083
48887	52421	27	0.9569	-45.029
54474	71958	27	0.9157	-59.075
73943	76986	27	0.9357	-28.030
56866	76986	27	0.9307	-39.035
58110	61813	27	0.9378	-13.006
56865	58110	27	0.8847	-1.004
55594	56578	27	0.9328	-26.996
61936	74066	27	0.9088	-14.020
61582	63278	27	0.8996	44.028
61078	70213	27	0.8923	-14.016
56866	70213	27	0.9087	-28.030
49630	53209	27	0.9099	-131.071
58713	80228	27	0.8764	-39.036
48396	52611	27	0.8762	-43.966
52856	55155	27	0.8962	17.030
53980	56409	27	0.9347	-14.017
56409	73943	27	0.9255	-28.031
61626	71600	27	0.8806	-14.016
52997	74762	27	0.9187	-42.046
55456	55578	27	0.9514	-17.032
